Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,size
Item Size: XS,Overall Fit: True to Size,165,82,61,91,32,50
Item Size: XS,Overall Fit: True to Size,137,70,60,80,32,43
Item Size: XS,Overall Fit: True to Size,155,89,71,99,32,44
Item Size: XS,Overall Fit: True to Size,165,83,65,90,32,43
Item Size: XS,Overall Fit: True to Size,158,79,60,87,32,30
Item Size: XS,Overall Fit: True to Size,157,80,61,89,32,43
Item Size: XS,Overall Fit: True to Size,149,70,60,80,32,36
Item Size: XS,Overall Fit: True to Size,162,82,60,80,32,42
Item Size: XS,Overall Fit: True to Size,159,86,74,86,32,33
Item Size: XS,Overall Fit: True to Size,163,88,66,103,34,33
Item Size: XS,Overall Fit: True to Size,165,82,64,81,32,43
Item Size: XL,Overall Fit: True to Size,158,93,66,82,36,105
Item Size: XL,Overall Fit: True to Size,168,88,77,94,34,120
Item Size: XL,Overall Fit: True to Size,137,73,62,83,38,110
Item Size: XL,Overall Fit: True to Size,175,97,79,101,36,121
Item Size: XL,Overall Fit: True to Size,164,92,68,88,34,116
Item Size: XL,Overall Fit: True to Size,171,94,79,99,34,100
Item Size: XL,Overall Fit: True to Size,173,78,71,83,36,122
Item Size: S,Overall Fit: True to Size,145,75,65,90,32,62
Item Size: S,Overall Fit: True to Size,164,82,64,85,32,57
Item Size: S,Overall Fit: True to Size,137,70,61,80,32,60
Item Size: S,Overall Fit: True to Size,176,70,60,84,32,69
Item Size: S,Overall Fit: True to Size,154,86,66,83,34,64
Item Size: S,Overall Fit: True to Size,156,78,63,90,32,69
Item Size: S,Overall Fit: True to Size,142,74,67,84,32,66
Item Size: S,Overall Fit: True to Size,154,75,60,90,32,69
Item Size: S,Overall Fit: True to Size,158,88,78,88,32,50
Item Size: S,Overall Fit: True to Size,158,91,71,92,32,50
Item Size: S,Overall Fit: True to Size,157,80,71,86,32,65
Item Size: S,Overall Fit: True to Size,176,89,69,104,34,75
Item Size: S,Overall Fit: True to Size,140,74,64,85,34,68
Item Size: S,Overall Fit: True to Size,137,70,60,80,32,73
Item Size: S,Overall Fit: True to Size,152,87,64,87,32,71
Item Size: S,Overall Fit: True to Size,152,84,68,97,32,66
Item Size: S,Overall Fit: True to Size,161,72,63,81,32,71
Item Size: S,Overall Fit: True to Size,152,82,72,91,32,62
Item Size: S,Overall Fit: True to Size,165,94,70,87,34,63
Item Size: S,Overall Fit: True to Size,144,74,60,87,36,65
Item Size: S,Overall Fit: True to Size,141,79,64,83,32,60
Item Size: S,Overall Fit: True to Size,160,84,61,87,32,57
Item Size: S,Overall Fit: True to Size,167,79,64,92,32,73
Item Size: S,Overall Fit: True to Size,164,91,73,91,32,75
Item Size: S,Overall Fit: True to Size,171,79,66,84,32,61
Item Size: S,Overall Fit: True to Size,149,70,74,80,32,65
Item Size: S,Overall Fit: True to Size,152,87,78,86,34,65
Item Size: S,Overall Fit: True to Size,164,79,64,81,36,70
Item Size: S,Overall Fit: True to Size,157,85,65,88,34,69
Item Size: S,Overall Fit: True to Size,165,85,64,91,32,63
Item Size: S,Overall Fit: True to Size,155,82,69,88,32,67
Item Size: S,Overall Fit: True to Size,168,79,66,87,32,59
Item Size: S,Overall Fit: True to Size,151,81,75,88,32,68
Item Size: S,Overall Fit: True to Size,176,85,61,83,32,59
Item Size: S,Overall Fit: True to Size,165,83,70,82,34,56
Item Size: S,Overall Fit: True to Size,158,87,62,80,34,63
Item Size: S,Overall Fit: True to Size,160,88,70,89,34,67
Item Size: S,Overall Fit: True to Size,153,81,61,86,32,58
Item Size: S,Overall Fit: True to Size,163,87,71,86,34,62
Item Size: S,Overall Fit: True to Size,166,70,60,81,32,55
Item Size: S,Overall Fit: True to Size,175,82,64,92,34,71
Item Size: S,Overall Fit: True to Size,152,73,68,92,34,71
Item Size: S,Overall Fit: True to Size,156,70,61,82,32,55
Item Size: S,Overall Fit: True to Size,159,85,66,91,32,65
Item Size: S,Overall Fit: True to Size,165,85,71,96,32,57
Item Size: S,Overall Fit: True to Size,161,92,69,92,34,64
Item Size: S,Overall Fit: True to Size,155,70,61,80,32,51
Item Size: S,Overall Fit: True to Size,163,82,73,94,32,59
Item Size: S,Overall Fit: True to Size,160,87,66,89,34,64
Item Size: S,Overall Fit: True to Size,169,70,66,88,32,70
Item Size: S,Overall Fit: True to Size,176,82,66,86,32,57
Item Size: S,Overall Fit: True to Size,160,84,70,90,32,55
Item Size: S,Overall Fit: True to Size,160,91,64,100,34,69
