,Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,new
71,Item Size: S,Overall Fit: True to Size,158,88,78,88,81.28,-0.374695703485555
72,Item Size: S,Overall Fit: True to Size,158,91,71,92,81.28,-0.374695703485555
73,Item Size: S,Overall Fit: True to Size,157,80,71,86,81.28,-0.374695703485555
74,Item Size: S,Overall Fit: True to Size,176,89,69,104,86.36,-0.374695703485555
75,Item Size: S,Overall Fit: True to Size,140,74,64,85,86.36,-0.374695703485555
76,Item Size: S,Overall Fit: True to Size,137,70,60,80,81.28,-0.374695703485555
77,Item Size: S,Overall Fit: True to Size,152,87,64,87,81.28,-0.374695703485555
78,Item Size: S,Overall Fit: True to Size,152,84,68,97,81.28,-0.374695703485555
79,Item Size: S,Overall Fit: True to Size,161,72,63,81,81.28,-0.374695703485555
80,Item Size: S,Overall Fit: True to Size,152,82,72,91,81.28,-0.374695703485555
81,Item Size: S,Overall Fit: True to Size,165,94,70,87,86.36,-0.374695703485555
82,Item Size: S,Overall Fit: True to Size,144,74,60,87,91.44,-0.374695703485555
83,Item Size: S,Overall Fit: True to Size,141,79,64,83,81.28,-0.374695703485555
84,Item Size: S,Overall Fit: True to Size,160,84,61,87,81.28,-0.374695703485555
85,Item Size: S,Overall Fit: True to Size,167,79,64,92,81.28,-0.374695703485555
86,Item Size: S,Overall Fit: True to Size,164,91,73,91,81.28,-0.374695703485555
87,Item Size: S,Overall Fit: True to Size,171,79,66,84,81.28,-0.374695703485555
88,Item Size: S,Overall Fit: True to Size,149,70,74,80,81.28,-0.374695703485555
89,Item Size: S,Overall Fit: True to Size,152,87,78,86,86.36,-0.374695703485555
90,Item Size: S,Overall Fit: True to Size,164,79,64,81,91.44,-0.374695703485555
91,Item Size: S,Overall Fit: True to Size,157,85,65,88,86.36,-0.374695703485555
92,Item Size: S,Overall Fit: True to Size,165,85,64,91,81.28,-0.374695703485555
93,Item Size: S,Overall Fit: True to Size,155,82,69,88,81.28,-0.374695703485555
94,Item Size: S,Overall Fit: True to Size,168,79,66,87,81.28,-0.374695703485555
95,Item Size: S,Overall Fit: True to Size,151,81,75,88,81.28,-0.374695703485555
96,Item Size: S,Overall Fit: True to Size,176,85,61,83,81.28,-0.374695703485555
97,Item Size: S,Overall Fit: True to Size,165,83,70,82,86.36,-0.374695703485555
98,Item Size: S,Overall Fit: True to Size,158,87,62,80,86.36,-0.374695703485555
99,Item Size: S,Overall Fit: True to Size,160,88,70,89,86.36,-0.374695703485555
100,Item Size: S,Overall Fit: True to Size,153,81,61,86,81.28,-0.374695703485555
101,Item Size: S,Overall Fit: True to Size,163,87,71,86,86.36,-0.374695703485555
102,Item Size: S,Overall Fit: True to Size,166,70,60,81,81.28,-0.374695703485555
103,Item Size: S,Overall Fit: True to Size,175,82,64,92,86.36,-0.374695703485555
104,Item Size: S,Overall Fit: True to Size,152,73,68,92,86.36,-0.374695703485555
105,Item Size: S,Overall Fit: True to Size,156,70,61,82,81.28,-0.374695703485555
106,Item Size: S,Overall Fit: True to Size,159,85,66,91,81.28,-0.374695703485555
107,Item Size: S,Overall Fit: True to Size,165,85,71,96,81.28,-0.374695703485555
108,Item Size: S,Overall Fit: True to Size,161,92,69,92,86.36,-0.374695703485555
109,Item Size: S,Overall Fit: True to Size,155,70,61,80,81.28,-0.374695703485555
110,Item Size: S,Overall Fit: True to Size,163,82,73,94,81.28,-0.374695703485555
111,Item Size: S,Overall Fit: True to Size,160,87,66,89,86.36,-0.374695703485555
112,Item Size: S,Overall Fit: True to Size,169,70,66,88,81.28,-0.374695703485555
113,Item Size: S,Overall Fit: True to Size,176,82,66,86,81.28,-0.374695703485555
114,Item Size: S,Overall Fit: True to Size,160,84,70,90,81.28,-0.374695703485555
115,Item Size: S,Overall Fit: True to Size,160,91,64,100,86.36,-0.374695703485555
116,Item Size: S,Overall Fit: True to Size,154,87,70,84,86.36,-0.374695703485555
117,Item Size: S,Overall Fit: True to Size,168,82,66,80,91.44,-0.374695703485555
118,Item Size: S,Overall Fit: True to Size,168,84,71,96,86.36,-0.374695703485555
119,Item Size: S,Overall Fit: True to Size,160,84,77,87,86.36,-0.374695703485555
120,Item Size: S,Overall Fit: True to Size,157,83,65,99,81.28,-0.374695703485555
121,Item Size: S,Overall Fit: True to Size,153,78,61,85,81.28,-0.374695703485555
122,Item Size: S,Overall Fit: True to Size,148,75,64,86,81.28,-0.374695703485555
123,Item Size: S,Overall Fit: True to Size,158,87,60,80,86.36,-0.374695703485555
124,Item Size: S,Overall Fit: True to Size,154,91,63,93,81.28,-0.374695703485555
125,Item Size: S,Overall Fit: True to Size,158,87,70,90,81.28,-0.374695703485555
126,Item Size: S,Overall Fit: True to Size,159,87,71,84,86.36,-0.374695703485555
127,Item Size: S,Overall Fit: True to Size,137,70,60,80,81.28,-0.374695703485555
128,Item Size: S,Overall Fit: True to Size,173,83,66,91,86.36,-0.374695703485555
129,Item Size: S,Overall Fit: True to Size,159,82,68,85,81.28,-0.374695703485555
130,Item Size: S,Overall Fit: True to Size,163,87,69,91,86.36,-0.374695703485555
131,Item Size: S,Overall Fit: True to Size,160,91,64,100,86.36,-0.374695703485555
132,Item Size: S,Overall Fit: True to Size,165,83,71,84,81.28,-0.374695703485555
133,Item Size: S,Overall Fit: True to Size,164,86,68,95,86.36,-0.374695703485555
134,Item Size: S,Overall Fit: True to Size,156,87,70,90,81.28,-0.374695703485555
135,Item Size: S,Overall Fit: True to Size,145,70,65,85,91.44,-0.374695703485555
136,Item Size: S,Overall Fit: True to Size,145,70,65,85,91.44,-0.374695703485555
137,Item Size: S,Overall Fit: True to Size,158,92,73,92,91.44,-0.374695703485555
138,Item Size: S,Overall Fit: True to Size,158,92,73,92,91.44,-0.374695703485555
139,Item Size: S,Overall Fit: True to Size,151,81,68,95,81.28,-0.374695703485555
140,Item Size: S,Overall Fit: True to Size,160,83,69,87,81.28,-0.374695703485555
141,Item Size: S,Overall Fit: True to Size,155,83,65,90,86.36,-0.374695703485555
142,Item Size: S,Overall Fit: True to Size,160,77,60,89,81.28,-0.374695703485555
143,Item Size: S,Overall Fit: True to Size,140,82,61,84,86.36,-0.374695703485555
144,Item Size: S,Overall Fit: True to Size,153,83,66,82,81.28,-0.374695703485555
145,Item Size: S,Overall Fit: True to Size,168,84,71,92,86.36,-0.374695703485555
146,Item Size: S,Overall Fit: True to Size,140,82,61,84,86.36,-0.374695703485555
147,Item Size: S,Overall Fit: True to Size,153,83,66,82,81.28,-0.374695703485555
148,Item Size: S,Overall Fit: True to Size,168,84,71,92,86.36,-0.374695703485555
149,Item Size: S,Overall Fit: True to Size,158,75,65,85,81.28,-0.374695703485555
150,Item Size: S,Overall Fit: True to Size,155,87,65,87,86.36,-0.374695703485555
151,Item Size: S,Overall Fit: True to Size,172,85,68,84,91.44,-0.374695703485555
152,Item Size: S,Overall Fit: True to Size,162,71,69,85,81.28,-0.374695703485555
153,Item Size: S,Overall Fit: True to Size,162,71,69,85,81.28,-0.374695703485555
154,Item Size: S,Overall Fit: True to Size,160,94,67,91,81.28,-0.374695703485555
155,Item Size: S,Overall Fit: True to Size,159,70,63,80,91.44,-0.374695703485555
156,Item Size: S,Overall Fit: True to Size,158,92,64,89,86.36,-0.374695703485555
157,Item Size: S,Overall Fit: True to Size,137,70,60,80,81.28,-0.374695703485555
158,Item Size: S,Overall Fit: True to Size,158,83,63,84,81.28,-0.374695703485555
159,Item Size: S,Overall Fit: True to Size,160,79,64,91,81.28,-0.374695703485555
160,Item Size: S,Overall Fit: True to Size,160,79,64,91,81.28,-0.374695703485555
161,Item Size: S,Overall Fit: True to Size,141,79,68,86,81.28,-0.374695703485555
162,Item Size: S,Overall Fit: True to Size,157,85,65,87,86.36,-0.374695703485555
163,Item Size: S,Overall Fit: True to Size,175,82,70,84,81.28,-0.374695703485555
164,Item Size: S,Overall Fit: True to Size,148,87,70,102,86.36,-0.374695703485555
165,Item Size: S,Overall Fit: True to Size,150,74,65,88,86.36,-0.374695703485555
